sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
TBNK2309330254  DQ4835-010      53.5    44.3    9.8     2       46453
TBNK2309330265  DQ4835-010      53.5    44.3    9.8     1       23226.5
ODO1694349245885277     CV2964-904      53.8    39.5    10.6    1       22526.1
ODO1694015331086898     CV2964-904      53.8    39.5    10.6    1       22526.1
ODO1694070050148663     CV2964-904      53.8    39.5    10.6    1       22526.1
ODO169431948422373      CV2964-904      53.8    39.5    10.6    1       22526.1
ODO1693923000594223     CK2663-010      50      40      10.3    1       20600
TBNK2309151459  DX0800-010      51.9    39.3    10      1       20396.7
TBNK2309156550  DX0188-010      50.7    43.1    8.4     1       18355.4
ODO1694003570485856     DJ9681-368      52.8    41.2    8.3     1       18055.5
TBBN2309073598  DX9522-480      33.3    19.4    27.7    1       17894.8
ODO1694008972543927     DX9522-480      33.3    19.4    27.7    1       17894.8
ODO1694107669985561     DX9522-480      33.3    19.4    27.7    1       17894.8
TBNK2309213455  DX9522-480      33.3    19.4    27.7    1       17894.8
TBNK2309103128  DQ4835-063      52.9    42.9    7.7     1       17474.5
TBNK2309152672  DV9737-010      46.9    42.9    8.6     1       17303.3
ODO1694010169703864     DV9737-010      46.9    42.9    8.6     1       17303.3
TBNK2309148216  DV9737-010      46.9    42.9    8.6     1       17303.3
ODO1694015810561959     DX0800-247      50.8    41.5    8.2     1       17287.2
TBNK2309210940  DV9737-010      52.2    43.2    7.4     1       16687.3
TBNK2309347229  DV9737-010      52.2    43.2    7.4     1       16687.3
BSIN2309134605  DV9737-010      52.2    43.2    7.4     1       16687.3
ODO1694332801183946     DR6100-010      46.5    40.2    8.9     1       16636.8
TBNK2309183110  DR6100-010      46.5    40.2    8.9     1       16636.8
ODO1694243749901753     DR6100-010      46.5    40.2    8.9     1       16636.8
TBNK2309221211  DX0618-386      53.2    41      7.5     1       16359
ODO1694006766490929     DX0800-010      52.1    36.8    8.4     1       16105.2
TBNK2309271619  BV2763-063      52.5    33.2    9.1     1       15861.3
ODO1694004607920915     DM4742-010      50.4    39.4    7.9     1       15687.5
TBNK2309315514  DM6180-100      52.4    35.4    8.4     1       15581.7
BSIN2309038370  DH9553-010      52.5    36.2    8.1     1       15394.1
TBNK2309200699  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309200172  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309202191  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309202033  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309203291  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309203319  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309200169  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309200725  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309202699  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309200694  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309200790  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309202160  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309204369  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309204366  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309202724  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309202064  FB1326-325      50.8    44.7    6.7     1       15214.1
TBNK2309157647  DV9737-010      50.3    42      7       1       14788.2
TBNK2309251274  DV9737-010      50.3    42      7       1       14788.2
ODO1693865403057362     DV9737-010      50.3    42      7       1       14788.2
TBNK2309165298  DV9737-010      50.3    42      7       1       14788.2
TBNK2309157798  DV9737-010      50.3    42      7       1       14788.2
TBBN2309022772  DQ8836-010      49.2    41.1    7.3     1       14761.5
TBNK2309154312  DD0627-010      51.8    41.9    6.7     1       14541.8
TBNK2309127646  DD0627-010      51.8    41.9    6.7     1       14541.8
TBNK2309156448  DD0627-010      51.8    41.9    6.7     1       14541.8
TBNK2309162908  DD0627-010      51.8    41.9    6.7     1       14541.8
ODO1694020130943281     DD0627-010      51.8    41.9    6.7     1       14541.8
ODO1694231417331752     DD0627-010      51.8    41.9    6.7     1       14541.8
ODO1694050070666352     DD0627-010      51.8    41.9    6.7     1       14541.8
ODO1694013964250407     DD0627-010      51.8    41.9    6.7     1       14541.8
BSIN2309131659  DH9553-010      52      35.1    7.9     1       14419.1
ODO1694272971847672     FJ7717-133      51.7    44.9    6.2     1       14392.2
BSIN2309057327  FJ7717-133      51.7    44.9    6.2     1       14392.2
TBNK2309315514  FJ7717-133      51.7    44.9    6.2     1       14392.2
TBNK2309202753  DH9553-100      48.9    37      7.9     1       14293.5
ODO1694124127642989     DH9553-100      48.9    37      7.9     1       14293.5
ODO169432020395630      DH9553-100      48.9    37      7.9     1       14293.5
ODO1694003051427746     DH9553-010      53.7    38      6.8     1       13876.1
ODO1694237528733475     BV2763-063      52.7    32.1    7.9     1       13364.2
TBBN2309060057  DX5413-010      51.2    44.9    5.8     1       13333.5
ODO1694056790346518     DX5413-010      51.2    44.9    5.8     1       13333.5
ODO169427129086085      DR1364-451      48.1    44.2    6.2     1       13181.3
TBNK2309315469  DZ2882-010      51.9    44.7    5.6     1       12991.6
ODO1694021629332551     DZ2882-010      51.9    44.7    5.6     1       12991.6
ODO1694276270440532     DZ2882-010      51.9    44.7    5.6     1       12991.6
TBNK2309342056  FJ7682-030      47.3    42.2    6.4     1       12774.8
TBNK2309225492  DQ5829-070      47.2    40.3    6.7     1       12744.5
ODO1694012390001473     CZ7398-010      52.3    39.5    6.1     1       12601.7
TBNK2309333572  CZ7398-010      52.3    39.5    6.1     1       12601.7
ODO1693888082943160     FJ7067-114      36.8    24.8    13.5    1       12320.6
ODO1694002272983184     CK2668-309      52      38      6.2     1       12251.2
ODO1694002227505676     CK2668-309      52      38      6.2     1       12251.2
ODO1694002290866514     CK2668-309      52      38      6.2     1       12251.2
ODO1693865426223744     CK2668-309      52      38      6.2     1       12251.2
ODO1694002290443486     CK2668-309      52      38      6.2     1       12251.2
ODO1694002249813629     CK2668-309      52      38      6.2     1       12251.2
ODO1694002171214489     CK2668-309      52      38      6.2     1       12251.2
ODO1693865426223744     CK2668-309      52      38      6.2     1       12251.2
ODO1694002198519520     CK2668-309      52      38      6.2     1       12251.2
ODO1693865426223744     CK2668-309      52      38      6.2     1       12251.2
ODO1694002249574609     CK2668-309      52      38      6.2     1       12251.2
ODO1694002251489776     CK2668-309      52      38      6.2     1       12251.2
ODO1694002213238161     CK2668-309      52      38      6.2     1       12251.2
ODO1693865213205865     CK2668-309      52      38      6.2     1       12251.2
ODO1694002275894384     CK2668-309      52      38      6.2     1       12251.2
ODO1694002152697732     CK2668-309      52      38      6.2     1       12251.2
ODO169400212420836      FJ6787-011      49      41.5    6       1       12201
ODO169400212420836      FJ6787-011      49      41.5    6       1       12201
ODO1694275312451900     FJ6787-011      49      41.5    6       1       12201
ODO169400212420836      FJ6787-011      49      41.5    6       1       12201
ODO169400212420836      FJ6787-011      49      41.5    6       1       12201
ODO169400212420836      FJ6787-011      49      41.5    6       1       12201
ODO1694002583675721     FJ6787-011      49      41.5    6       1       12201
ODO1694002583675721     FJ6787-011      49      41.5    6       1       12201
ODO1694002583675721     FJ6787-011      49      41.5    6       1       12201
TBBJ2309059961  FJ6787-011      49      41.5    6       1       12201
ODO1693977247718389     DX7665-902      37.7    34.4    9.381   1       12166
ODO1694004724050778     DV5477-401      34.1    23.5    15.1    1       12100.4
TBNK2309163881  DM6334-289      49.5    39.2    6       1       11642.4
TBBN2309024295  DX5386-101      46.7    43.6    5.7     1       11605.9
TBBN2309060441  DX5386-101      46.7    43.6    5.7     1       11605.9
ODO1694275430023776     DV9021-010      51      42      5.4     1       11566.8
ODO1694014550531784     DN3592-010      49      40      5.9     1       11564
ODO1694094169622643     DN3592-010      49      40      5.9     1       11564
TBNK2309229135  DN3592-010      49      40      5.9     1       11564
TBNK2309246977  DN3592-010      49      40      5.9     1       11564
TBBN2309072676  DN3592-010      49      40      5.9     1       11564
BSIN2309046796  DN3592-010      49      40      5.9     1       11564
TBBN2309059799  DN3592-010      49      40      5.9     1       11564
ODO1694014550502782     DN3592-010      49      40      5.9     1       11564
BSIN2309046596  DN3592-010      49      40      5.9     1       11564
ODO1694094529812387     DN3592-010      49      40      5.9     1       11564
ODO1694004055844558     DN3592-010      49      40      5.9     1       11564
TBNK2309246979  DN3592-010      49      40      5.9     1       11564
TBNK2309245558  DN3592-010      49      40      5.9     1       11564
BSIN2309046895  DN3592-010      49      40      5.9     1       11564
TBNK2309256023  DN3592-010      49      40      5.9     1       11564
BSIN2309046934  DN3592-010      49      40      5.9     1       11564
BSIN2309046541  DN3592-010      49      40      5.9     1       11564
BSIN2309046922  DN3592-010      49      40      5.9     1       11564
ODO1694002739895571     DN3592-010      49      40      5.9     1       11564
ODO1694003873016124     DN3592-010      49      40      5.9     1       11564
ODO1694002819812635     DN3592-010      49      40      5.9     1       11564
BSIN2309046777  DN3592-010      49      40      5.9     1       11564
TBNK2309246865  DN3592-010      49      40      5.9     1       11564
BSIN2309046619  DN3592-010      49      40      5.9     1       11564
ODO1694094531220450     DN3592-010      49      40      5.9     1       11564
TBBN2309058311  DN3592-010      49      40      5.9     1       11564
ODO1694101070239661     DN3592-010      49      40      5.9     1       11564
TBBN2309018459  DN3592-010      49      40      5.9     1       11564
TBBN2309068468  DN3592-010      49      40      5.9     1       11564
TBBN2309073495  DN3592-010      49      40      5.9     1       11564
TBBN2309069021  DN3592-010      49      40      5.9     1       11564
TBNK2309109214  DN3592-010      49      40      5.9     1       11564
TBNK2309253745  DN3592-010      49      40      5.9     1       11564
ODO1694094170667669     DN3592-010      49      40      5.9     1       11564
BSIN2309046727  DN3592-010      49      40      5.9     1       11564
ODO169401970974829      DN3592-010      49      40      5.9     1       11564
ODO1694094169464639     DN3592-010      49      40      5.9     1       11564
BSIN2309046929  DN3592-010      49      40      5.9     1       11564
TBNK2309108934  DN3592-010      49      40      5.9     1       11564
ODO1694005309435951     DN3592-010      49      40      5.9     1       11564
TBNK2309253716  DN3592-010      49      40      5.9     1       11564
ODO1694094170876676     DN3592-010      49      40      5.9     1       11564
ODO1694094529981396     DN3592-010      49      40      5.9     1       11564
TBBN2309072042  DN3592-010      49      40      5.9     1       11564
TBNK2309222121  DN3592-010      49      40      5.9     1       11564
TBNK2309245125  DN3592-010      49      40      5.9     1       11564
TBNK2309245575  DN3592-010      49      40      5.9     1       11564
TBNK2309246858  DN3592-010      49      40      5.9     1       11564
TBNK2309106452  DN3592-010      49      40      5.9     1       11564
TBNK2309254254  DN3592-010      49      40      5.9     1       11564
ODO1694019170105217     DN3592-010      49      40      5.9     1       11564
ODO1694094170815671     DN3592-010      49      40      5.9     1       11564
ODO1694002763887573     DN3592-010      49      40      5.9     1       11564
TBNK2309246862  DN3592-010      49      40      5.9     1       11564
TBNK2309246984  DN3592-010      49      40      5.9     1       11564
ODO169409206970154      DN3592-010      49      40      5.9     1       11564
TBNK2309156238  DN3592-010      49      40      5.9     1       11564
ODO1694094530048398     DN3592-010      49      40      5.9     1       11564
ODO1694092010305914     DN3592-010      49      40      5.9     1       11564
TBBN2309068412  DN3592-010      49      40      5.9     1       11564
TBNK2309229095  DN3592-010      49      40      5.9     1       11564
TBBN2309034174  DN3592-010      49      40      5.9     1       11564
ODO1694094170205659     DN3592-010      49      40      5.9     1       11564
TBNK2309229108  DN3592-010      49      40      5.9     1       11564
TBNK2309220244  DN3592-010      49      40      5.9     1       11564
TBNK2309246860  DN3592-010      49      40      5.9     1       11564
ODO169400286904351      DN3592-010      49      40      5.9     1       11564
ODO1694019530592366     DN3592-010      49      40      5.9     1       11564
TBNK2309248846  DN3592-010      49      40      5.9     1       11564
ODO1694091890633449     DN3592-010      49      40      5.9     1       11564
TBNK2309108368  DN3592-010      49      40      5.9     1       11564
TBNK2309245506  DN3592-010      49      40      5.9     1       11564
TBNK2309229103  DN3592-010      49      40      5.9     1       11564
ODO1694094170414663     DN3592-010      49      40      5.9     1       11564
ODO1694094169797645     DN3592-010      49      40      5.9     1       11564
ODO1694101070436665     DN3592-010      49      40      5.9     1       11564
