sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
ODO169390477119363      DV0821-001      34.6    22.9    11.6    1       9191.14
BSIN2309136635  FJ7735-031      34.6    22.9    11.6    1       9191.14
ODO169415124280499      DJ7926-001      34.6    22.9    11.6    1       9191.14
BSIN2309046934  DM2845-100      34.6    22.9    11.6    3       27573.4
ODO1694013769793700     DR0453-100      34.6    22.9    11.6    1       9191.14
BSIN2309046727  DM2845-100      34.6    22.9    11.6    3       27573.4
ODO1694010592690166     FB7179-100      34.6    22.9    11.6    1       9191.14
ODO1694143455258775     DV7418-101      34.6    22.9    11.6    1       9191.14
BSIN2309046922  DM2845-100      34.6    22.9    11.6    3       27573.4
BSIN2309046971  DM2845-100      34.6    22.9    11.6    3       27573.4
BSIN2309046594  DM2845-100      34.6    22.9    11.6    3       27573.4
BSIN2309143598  DA8301-101      34      21.8    12.4    1       9190.88
ODO1694008976308150     DV4022-003      34.3    22.9    11.7    1       9190
ODO16940089737965       DV4022-003      34.3    22.9    11.7    1       9190
ODO1694009156011677     DV4022-003      34.3    22.9    11.7    1       9190
ODO169400908934921      DV4022-003      34.3    22.9    11.7    1       9190
ODO169400908934921      DV4022-003      34.3    22.9    11.7    1       9190
ODO169400908934921      DV4022-003      34.3    22.9    11.7    1       9190
ODO1694012210200219     DV4022-101      34.3    22.9    11.7    1       9190
ODO1694009034242275     DV4022-003      34.3    22.9    11.7    1       9190
ODO1694009034242275     DV4022-003      34.3    22.9    11.7    1       9190
TBNK2309165298  DV4022-101      34.3    22.9    11.7    1       9190
ODO1694009034242275     DV4022-003      34.3    22.9    11.7    1       9190
ODO1694008972970956     DV4022-003      34.3    22.9    11.7    1       9190
ODO1694008972970956     DV4022-003      34.3    22.9    11.7    1       9190
ODO1694008972970956     DV4022-003      34.3    22.9    11.7    1       9190
ODO16940089737965       DV4022-003      34.3    22.9    11.7    1       9190
ODO1694008976308150     DV4022-003      34.3    22.9    11.7    1       9190
ODO1694009156011677     DV4022-003      34.3    22.9    11.7    1       9190
ODO16940089737965       DV4022-003      34.3    22.9    11.7    1       9190
ODO1693866020422852     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693865895418382     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693865895418382     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693866020422852     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO169386612839980      CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO169386612839980      CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693866243633326     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693866243633326     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693865896777401     CZ2959-600      34.5    21.4    12.4    1       9154.92
ODO1693865896777401     CZ2959-600      34.5    21.4    12.4    1       9154.92
TBNK2309166733  DD1391-100      34.4    21.8    12.2    1       9149.02
ODO1694067770321210     DD1391-100      34.4    21.8    12.2    1       9149.02
ODO1694161910912966     DD1391-100      34.4    21.8    12.2    1       9149.02
ODO169389600218438      DV0821-001      34.4    21.8    12.2    1       9149.02
TBNK2309085026  DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309347229  DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309304242  DD1391-100      34.4    21.8    12.2    1       9149.02
ODO1694330809679794     DD1391-100      34.4    21.8    12.2    1       9149.02
ODO1694233310189460     DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309173519  DD1391-100      34.4    21.8    12.2    1       9149.02
ODO1694184829843525     DD1391-100      34.4    21.8    12.2    1       9149.02
BSIN2309059151  DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309308737  DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309116515  DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309342056  DD1391-100      34.4    21.8    12.2    1       9149.02
TBNK2309175711  CT2302-002      34.2    21.4    12.5    1       9148.5
ODO169386685672297      DV0788-101      34      22.8    11.8    1       9147.36
ODO169386685548871      DV0788-101      34      22.8    11.8    1       9147.36
ODO169386685548871      DV0788-101      34      22.8    11.8    1       9147.36
BSIN2309031198  DV0788-101      34      22.8    11.8    3       27442.1
ODO169386685548871      DV0788-101      34      22.8    11.8    1       9147.36
ODO169386612438612      DV0788-101      34      22.8    11.8    1       9147.36
TBNK2309102553  DV0788-101      34      22.8    11.8    2       18294.7
ODO169386612438612      DV0788-101      34      22.8    11.8    1       9147.36
ODO169386612438612      DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866859279145     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866859279145     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866859279145     DV0788-101      34      22.8    11.8    1       9147.36
TBNK2309106072  DV0788-101      34      22.8    11.8    2       18294.7
ODO169386685672297      DV0788-101      34      22.8    11.8    1       9147.36
ODO169386685672297      DV0788-101      34      22.8    11.8    1       9147.36
ODO1693865285908950     DV0788-101      34      22.8    11.8    1       9147.36
