sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
TBNK2309193315  DR8788-004      39.8    29.6    14      1       16493.1
ODO1694358002830249     DQ1615-700      39.1    29.9    14      1       16367.3
ODO1693864925355349     AV2187-140      36.6    29.8    14.6    1       15923.9
BSIN2309036931  AV2187-140      36.6    29.8    14.6    1       15923.9
ODO169391076206246      DQ1615-100      38.8    29.7    13.8    1       15902.6
ODO1694165044227898     CZ0790-101      40      28.5    13.5    1       15390
TBNK2309132182  DR8788-300      41.2    25      14.8    1       15244
TBNK2309103418  FB7179-001      40.4    25      15      1       15150
ODO1693881963709130     DJ9432-001      40.7    25      14.6    1       14855.5
ODO1694358229647704     DJ7883-003      40.4    25.2    14.5    1       14762.2
ODO1694016830485414     DR8788-004      41      25.2    14      1       14464.8
TBNK2309156955  DR8788-300      41      25.2    14      1       14464.8
ODO1694098202885590     FN3436-011      35.8    23.6    16.8    1       14194
BSIN2309048825  DO6290-100      39      24.6    13.6    1       13047.8
ODO1693919042938423     AV2187-140      35.6    28.8    12.6    1       12918.5
ODO169389480784155      AV2187-140      35.6    28.8    12.6    1       12918.5
ODO1693894209268907     AV2187-140      35.6    28.8    12.6    1       12918.5
ODO1693893853500283     AV2187-140      35.6    28.8    12.6    1       12918.5
ODO1693894202389875     AV2187-140      35.6    28.8    12.6    1       12918.5
ODO1693895162061891     AV2187-140      35.6    28.8    12.6    1       12918.5
ODO169413588035743      DO8951-001      38.2    24.3    13.7    1       12717.2
TBNK2309100502  DX3566-010      36.1    29.3    12      1       12692.8
BSIN2309063600  DJ9432-001      38.4    24.4    13.5    1       12649
TBNK2309285886  DX3566-010      36.4    28.9    12      1       12623.5
BSIN2309045767  AV2187-140      36      26.9    13      1       12589.2
ODO1693893002167276     AV2187-140      36      26.9    13      1       12589.2
ODO1693893002448279     AV2187-140      36      26.9    13      1       12589.2
ODO1693889766396743     AV2187-140      36      26.9    13      1       12589.2
ODO1693887723673593     AV2187-140      36      26.9    13      1       12589.2
ODO1693892880563826     AV2187-140      36      26.9    13      1       12589.2
ODO1693891802430832     AV2187-140      36      26.9    13      1       12589.2
ODO1693888082943160     FJ7067-114      36.8    24.8    13.5    1       12320.6
ODO1694004724050778     DV5477-401      34.1    23.5    15.1    1       12100.4
ODO1694358367594960     DR6191-101      34.1    23.4    15.1    1       12048.9
ODO16940883500599       DR6191-101      34.1    23.4    15.1    1       12048.9
BSIN2309024790  FB9948-905      33      28.5    12.8    2       24076.8
ODO1693989960306124     DR8788-004      38.8    24      12.8    1       11919.4
ODO1693900567551427     DR8788-004      38.8    24      12.8    1       11919.4
ODO169389900920649      FD4613-001      34.6    23.1    14.9    1       11909
ODO1694003647788241     AV2187-140      36.5    26      12.5    1       11862.5
ODO1693894325582180     AV2187-140      36.5    26      12.5    1       11862.5
ODO1694100603109209     DX0031-010      39      28.7    10.5    1       11752.6
BSIN2309043025  FJ4226-100      36.5    26.8    12      1       11738.4
BSIN2309071151  FJ4226-100      36.5    26.8    12      1       11738.4
BSIN2309056952  DV0831-001      34.1    23.2    14.8    1       11708.6
ODO1693876927858437     DR8788-100      38.3    24      12.6    1       11581.9
ODO1694009767861759     DX4397-103      35.4    25.2    12.8    1       11418.6
BSIN2309038723  DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1694010123181638     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1694009770501815     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1693929248629387     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO169401970971927      FD0385-121      34.2    23      14.5    1       11405.7
TBNK2309340658  FB3354-001      33      23.1    14.9    1       11358.3
ODO1694274830441602     FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309335498  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309339196  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309340622  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309336727  FB3354-001      33      23.1    14.9    1       11358.3
