sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
TBNK2309151459  DX0800-010      51.9    39.3    10      1       20396.7
ODO169426008497136      DQ1615-700      41.1    30.8    14.6    1       18481.8
ODO1694124136143196     DQ1615-700      41.1    30.8    14.6    1       18481.8
ODO1694358002830249     DQ1615-700      39.1    29.9    14      1       16367.3
ODO1694009633547803     FB2841-381      37.7    35.9    12      1       16241.2
BSIN2309068914  DM4742-010      50.2    39.2    8.2     1       16136.3
ODO1694273870113211     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309330417  DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309294571  DV6246-010      45.1    36.1    9.9     1       16118.3
BSIN2309129995  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694245669777141     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694245669777141     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694245669777141     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694268889551482     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694268889551482     DV6246-010      45.1    36.1    9.9     1       16118.3
BSIN2309143025  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694275249838593     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO169426829020581      DV6246-010      45.1    36.1    9.9     1       16118.3
ODO169426829020581      DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309335522  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694352120351602     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO169388209297023      DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309330886  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694276209420218     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269010145239     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269131039696     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309331199  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269070958466     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269070134435     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309309648  DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309336727  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694252990025873     DV6246-010      45.1    36.1    9.9     1       16118.3
TBBN2309071622  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269070428449     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269069512414     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269010145239     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269069585418     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309336800  DV6246-010      45.1    36.1    9.9     2       32236.6
TBNK2309309137  DV6246-010      45.1    36.1    9.9     2       32236.6
TBBN2309071621  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269070164436     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309177227  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269429472179     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694269429472179     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309309652  DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309308737  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694081389461400     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694081389461400     DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309330135  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694057524715103     DV6246-010      45.1    36.1    9.9     1       16118.3
ODO169401581241442      DV6246-010      45.1    36.1    9.9     1       16118.3
ODO169401581241442      DV6246-010      45.1    36.1    9.9     1       16118.3
TBNK2309340320  DV6246-010      45.1    36.1    9.9     1       16118.3
ODO1694004607920915     DM4742-010      50.4    39.4    7.9     1       15687.5
ODO169408548040348      DM4742-010      50.4    39.4    7.9     1       15687.5
ODO1694210537822986     DM4742-010      50.4    39.4    7.9     1       15687.5
BSIN2309052125  FJ2039-060      37.8    33.3    12      1       15104.9
ODO1694004727052818     DM4742-010      49.6    36.8    8.1     1       14784.8
TBNK2309282602  DM4742-010      49.6    36.8    8.1     2       29569.5
ODO1694159888784633     FB8139-200      48.8    39.5    7.5     1       14457
ODO1694011310709709     DQ5922-010      50.7    33.9    8.4     1       14437.3
ODO1694009043407788     DQ5922-010      50.7    33.9    8.4     1       14437.3
ODO1694124127642989     DH9553-100      48.9    37      7.9     1       14293.5
TBNK2309202753  DH9553-100      48.9    37      7.9     1       14293.5
ODO169432020395630      DH9553-100      48.9    37      7.9     1       14293.5
BSIN2309059111  DJ9678-010      47.9    34.1    8.7     1       14210.5
ODO1694264524714366     FB8139-410      50.8    39.9    7       1       14188.4
TBNK2309178122  DQ5829-070      47.3    39.9    7.5     1       14154.5
ODO1694057041710140     CT0713-100      44.6    19.4    16.2    1       14016.9
ODO1694080321100103     FD8695-100      44.6    19.4    16.2    1       14016.9
ODO1693888082943160     FJ7067-114      36.8    24.8    13.5    1       12320.6
ODO1693977247718389     DX7665-902      37.7    34.4    9.381   1       12166
ODO1694004724050778     DV5477-401      34.1    23.5    15.1    1       12100.4
BSIN2309071151  FJ4226-100      36.5    26.8    12      1       11738.4
BSIN2309043025  FJ4226-100      36.5    26.8    12      1       11738.4
TBNK2309163881  DM6334-289      49.5    39.2    6       1       11642.4
ODO1694011129812309     DX0800-010      35.8    33.7    9.5     1       11461.4
ODO1694002451479358     DX0800-010      35.8    33.7    9.5     1       11461.4
ODO1694052724504201     DX0800-010      35.8    33.7    9.5     1       11461.4
ODO1693929248629387     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1694009767861759     DX4397-103      35.4    25.2    12.8    1       11418.6
BSIN2309038723  DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1694009770501815     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO169401970971927      FD0385-121      34.2    23      14.5    1       11405.7
ODO1694280589513254     FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309342824  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309339190  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309339196  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309338727  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309283106  FB3354-001      33      23.1    14.9    1       11358.3
ODO1694264509360218     FB3354-001      33      23.1    14.9    1       11358.3
ODO1694264509360218     FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309339233  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309172191  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309336609  FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309328899  FB3354-001      33      23.1    14.9    1       11358.3
TBBN2309024181  DX7665-902      37      34      9       2       22644
ODO1694261041902130     DX7665-902      37      34      9       1       11322
ODO169426008445134      DX7665-902      37      34      9       1       11322
ODO169426008445134      DX7665-902      37      34      9       1       11322
ODO1694259843549338     DX7665-902      37      34      9       1       11322
ODO169426008445134      DX7665-902      37      34      9       1       11322
ODO1694256480839379     DX7665-902      37      34      9       1       11322
ODO1694256480839379     DX7665-902      37      34      9       1       11322
ODO1694261041902130     DX7665-902      37      34      9       1       11322
ODO169426008588040      DX7665-902      37      34      9       1       11322
ODO1694256480839379     DX7665-902      37      34      9       1       11322
ODO1694256244348872     DX7665-902      37      34      9       1       11322
ODO1694259843803339     DX7665-902      37      34      9       1       11322
ODO1694261041902130     DX7665-902      37      34      9       1       11322
ODO1694261043989141     DX7665-902      37      34      9       1       11322
ODO1694076949383466     DX7665-902      37      34      9       1       11322
ODO1694256244348872     DX7665-902      37      34      9       1       11322
ODO1694259843803339     DX7665-902      37      34      9       1       11322
ODO1694259843803339     DX7665-902      37      34      9       1       11322
ODO1694257328136506     DX7665-902      37      34      9       1       11322
ODO1694257328136506     DX7665-902      37      34      9       1       11322
ODO1694260442061801     DX7665-902      37      34      9       1       11322
ODO1694257328136506     DX7665-902      37      34      9       1       11322
ODO169425180498853      DX7665-902      37      34      9       1       11322
ODO169425180498853      DX7665-902      37      34      9       1       11322
ODO169425180498853      DX7665-902      37      34      9       1       11322
ODO1694260445434826     DX7665-902      37      34      9       1       11322
ODO169426008557038      DX7665-902      37      34      9       1       11322
ODO1694259843549338     DX7665-902      37      34      9       1       11322
ODO169426008557038      DX7665-902      37      34      9       1       11322
ODO1694261885010363     DX7665-902      37      34      9       1       11322
ODO1694260445434826     DX7665-902      37      34      9       1       11322
ODO169426008557038      DX7665-902      37      34      9       1       11322
ODO1694256244348872     DX7665-902      37      34      9       1       11322
ODO1694261885010363     DX7665-902      37      34      9       1       11322
ODO1694259843549338     DX7665-902      37      34      9       1       11322
ODO1694261885010363     DX7665-902      37      34      9       1       11322
ODO1694261887572376     DX7665-902      37      34      9       1       11322
ODO1694261887572376     DX7665-902      37      34      9       1       11322
ODO1694261400554687     DX7665-902      37      34      9       1       11322
ODO1694261400554687     DX7665-902      37      34      9       1       11322
ODO1694261043989141     DX7665-902      37      34      9       1       11322
ODO169426008588040      DX7665-902      37      34      9       1       11322
ODO1694260442061801     DX7665-902      37      34      9       1       11322
ODO1694261043989141     DX7665-902      37      34      9       1       11322
ODO1694260445434826     DX7665-902      37      34      9       1       11322
