BSIN2309048698  DM0573-100      36.4    24      12.5    1       10920
ODO1694037854450961     DV9089-200      36.4    24      12.5    1       10920
ODO1694015329986845     DV9089-200      36.4    24      12.5    1       10920
ODO169389900557526      DJ5422-801      36.4    24      12.5    1       10920
ODO1694015271391622     DV9089-200      36.4    24      12.5    1       10920
BSIN2309060594  DV9089-200      36.4    24      12.5    1       10920
ODO1694063042970465     FD6720-200      35.2    24.6    12.6    1       10910.6
ODO1694296923226798     DQ4123-100      35.2    24.6    12.6    1       10910.6
TBBJ2309044997  CK9246-136      35.2    24.6    12.6    1       10910.6
ODO1694280289957865     DQ4123-100      35.2    24.6    12.6    1       10910.6
BSIN2309138777  DV0921-173      35.2    24.6    12.6    1       10910.6
BSIN2309058026  DQ4123-100      35.2    24.6    12.6    1       10910.6
BSIN2309057812  DQ4123-100      35.2    24.6    12.6    1       10910.6
ODO1694123331475221     CK9246-136      35.2    24.6    12.6    1       10910.6
TBNK2309106064  DQ4123-100      35.2    24.6    12.6    1       10910.6
ODO169401276242093      CT8532-148      35.2    24.6    12.6    1       10910.6
TBNK2309338236  FN3430-180      35.2    24.2    12.8    1       10903.6
TBNK2309337835  FN3430-180      35.2    24.2    12.8    1       10903.6
ODO1694268889551482     FN3430-180      35.2    24.2    12.8    1       10903.6
TBNK2309339403  FN3430-180      35.2    24.2    12.8    1       10903.6
ODO1694269429472179     FN3430-180      35.2    24.2    12.8    1       10903.6
ODO1694014250906977     DV7721-001      35.2    24.2    12.8    1       10903.6
ODO1693886280912250     FN3430-180      35.2    24.2    12.8    1       10903.6
TBNK2309342092  FN3430-180      35.2    24.2    12.8    1       10903.6
ODO169426829020581      FN3430-180      35.2    24.2    12.8    1       10903.6
TBNK2309337836  FN3430-180      35.2    24.2    12.8    1       10903.6
TBNK2309115585  DV0788-103      35.8    24      12.6    1       10825.9
ODO1694021929879522     DJ6013-104      36.1    23.8    12.6    1       10825.7
TBNK2309309137  DR8786-401      36.1    23.8    12.6    1       10825.7
