sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
ODO1694233969582263     AJ2664-117      37.1    27.8    14.3    1       14748.7
ODO1693893848721262     DZ3355-106      37.8    27.4    14      1       14500.1
ODO1694124132439126     DQ4123-061      36.2    27.2    14.1    1       13883.4
ODO169388292542723      DZ3355-106      37.6    27.2    13.4    1       13704.4
ODO1694002243961265     DV1310-401      36.8    26.8    13.8    1       13610.1
ODO1694009393086141     FJ7061-001      38.6    24.6    14.2    1       13483.8
BSIN2309037002  DX6734-001      35.5    26.6    14.1    1       13314.6
TBNK2309146967  DV3276-101      35.7    23.3    15.8    1       13142.6
TBNK2309150782  DV2436-002      36      23.4    15.5    1       13057.2
BSIN2309048825  DO6290-100      39      24.6    13.6    1       13047.8
TBNK2309150782  DV2436-002      35.9    23.4    15.5    1       13020.9
ODO1693974843044278     DV9089-200      37.4    24.8    13.8    1       12799.8
ODO1694015042931208     DX4996-100      38.6    24      13.8    1       12784.3
ODO1693925641607834     DJ5422-801      38.6    24      13.8    1       12784.3
BSIN2309071493  DM8968-302      38.6    24      13.8    1       12784.3
ODO169413538938240      FJ1046-100      38.6    24      13.8    1       12784.3
ODO1694065087756113     DR2615-002      38.6    24      13.8    1       12784.3
ODO169390477119363      DJ5422-801      38.6    24      13.8    1       12784.3
ODO1694167629639862     DQ4123-061      36.4    27      13      1       12776.4
BSIN2309016604  DX1690-400      36.4    27      13      1       12776.4
ODO1694004726505810     FD6720-200      36.4    27      13      1       12776.4
ODO169391857063574      FD6720-200      36.4    27      13      1       12776.4
TBNK2309133212  DV7903-003      38.4    24.6    13.5    1       12752.6
TBNK2309263552  DV7903-003      38.4    24.6    13.5    1       12752.6
ODO1693876922030371     DM8019-005      38.4    24.6    13.5    1       12752.6
ODO169391196062914      DJ9432-300      38.2    24.3    13.7    1       12717.2
ODO169413588035743      DO8951-001      38.2    24.3    13.7    1       12717.2
TBNK2309210602  DZ2945-600      38.2    24.3    13.7    1       12717.2
BSIN2309138870  FJ7098-700      38.6    24.4    13.5    1       12714.8
ODO1693924442194664     FJ7098-700      38.6    24.4    13.5    1       12714.8
ODO1694171881474881     DJ0382-600      38.6    24.4    13.5    1       12714.8
BSIN2309069834  FJ7098-700      38.6    24.4    13.5    1       12714.8
ODO1694016891182738     DV2436-001      35.9    23.1    15.3    1       12688.1
TBNK2309150782  DV2436-002      35.8    23      15.4    1       12680.4
ODO1694057929963988     DJ9432-601      38.4    24.4    13.5    1       12649
BSIN2309063600  DJ9432-001      38.4    24.4    13.5    1       12649
ODO1694297052663421     DD1579-301      38.4    24.4    13.5    1       12649
BSIN2309031624  DH4692-002      38.4    24.4    13.5    1       12649
TBNK2309146967  DD1579-301      38.4    24.4    13.5    1       12649
ODO1693919526258867     FJ7098-700      38.4    24.4    13.5    1       12649
ODO1694404309985744     CT2303-100      34.9    23      15.7    1       12602.4
ODO1693879801559630     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694008687628523     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO16939657259090       DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694008690952543     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694008684137496     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694008680301415     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694008680358417     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694008682133434     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694006168796218     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1693886286074304     DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1694006171139277     DJ6013-104      36.8    24.8    13.8    1       12594.4
BSIN2309055291  DJ6013-104      36.8    24.8    13.8    1       12594.4
ODO1693893850636270     AV2187-140      36      26.9    13      1       12589.2
