sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
TBBN2309073598  DX9522-480      33.3    19.4    27.7    1       17894.8
ODO1694107669985561     DX9522-480      33.3    19.4    27.7    1       17894.8
ODO1694008972543927     DX9522-480      33.3    19.4    27.7    1       17894.8
TBNK2309213455  DX9522-480      33.3    19.4    27.7    1       17894.8
ODO1694358002830249     DQ1615-700      39.1    29.9    14      1       16367.3
TBNK2309133212  FB9948-902      29      27.7    18.9    1       15182.4
TBNK2309103418  FB7179-001      40.4    25      15      1       15150
ODO1693894209268907     AV2187-140      35.6    28.8    12.6    1       12918.5
BSIN2309038790  FB9948-902      27.7    23.9    19.3    1       12777.2
ODO1694098069456356     FB9948-902      27.7    23.9    19.3    1       12777.2
TBNK2309099916  FB9948-902      27.7    23.9    19.3    1       12777.2
ODO1694008978521294     FB9948-902      27.7    23.9    19.3    1       12777.2
BSIN2309059459  FB9948-902      27.7    23.9    19.3    1       12777.2
ODO1693889766396743     AV2187-140      36      26.9    13      1       12589.2
ODO1693893002167276     AV2187-140      36      26.9    13      1       12589.2
TBNK2309179373  FB9948-904      27      24.4    18.9    1       12451.3
ODO1693888082943160     FJ7067-114      36.8    24.8    13.5    1       12320.6
ODO1694004724050778     DV5477-401      34.1    23.5    15.1    1       12100.4
BSIN2309071151  FJ4226-100      36.5    26.8    12      1       11738.4
BSIN2309043025  FJ4226-100      36.5    26.8    12      1       11738.4
BSIN2309047924  FB9948-902      25.9    22.5    19.6    1       11421.9
ODO1694008923111741     FB9948-902      25.9    22.5    19.6    1       11421.9
ODO1694010123181638     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1694009770501815     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1694009767861759     DX4397-103      35.4    25.2    12.8    1       11418.6
BSIN2309038723  DX4397-103      35.4    25.2    12.8    1       11418.6
ODO1693929248629387     DX4397-103      35.4    25.2    12.8    1       11418.6
ODO169401970971927      FD0385-121      34.2    23      14.5    1       11405.7
ODO1694274830441602     FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309338727  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309336727  FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309339233  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309283106  FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309339196  FB3354-001      33      23.1    14.9    2       22716.5
ODO1694280589513254     FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309331199  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309339190  FB3354-001      33      23.1    14.9    2       22716.5
TBNK2309338033  FB3354-001      33      23.1    14.9    1       11358.3
ODO1694264509360218     FB3354-001      33      23.1    14.9    1       11358.3
TBNK2309336609  FB3354-001      33      23.1    14.9    1       11358.3
ODO1694264509360218     FB3354-001      33      23.1    14.9    1       11358.3
